ID,Age Class,Sex,Confidence,Reason,Tag ID,Biopsy,Genetics,Falcone Age Category,Falcone Age,Falcone Sex,Cascadia Age,Cascadia Gender,Comments
Zca_063,Adult,Male,High,Erupted teeth,ZcTag098,,,Reproductive,Adult,Male,,,
Zca_064,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_065,Adult,Female,High,With calf in 2019 (Zca_Rakes_148),,,,Reproductive,Adult,Female,,,
Zca_066,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_067,Adult,Female,High,With calf in 2018 (Zca_068),,,,Reproductive,Adult,Female,,,
Zca_068,Calf,Unknown,High,With mom in 2018 (Zca_067),,,,Calf- Older,Calf- older,Unk,,,
Zca_070,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_071,Unknown,Unknown,,Brown; minimal scarring,,,,Juvenile,Juvenile,Unk,,,
Zca_072,Unknown,Male,High,Brown; minimal scarring; no teeth; genetics,,HJF_21_005,Male,Subadult ,Subadult ,Male,,,
Zca_073,Unknown,Unknown,,Brown; minimal scarring,,,,Adult/Subadult ,Adult/Subadult ,Female,,,
Zca_074,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult ,Subadult ,Female,,,
Zca_075,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult ,Subadult ,Male,,,
Zca_076,Adult,Male,High,Erupted teeth,ZcTag086,,,Reproductive,Adult,Male,,,
Zca_077,Adult,Male,High,Erupted teeth,ZcTag087,,,Reproductive,Adult,Male,,,
Zca_078,Adult,Male,High,Erupted teeth,ZcTag089,,,Reproductive,Adult,Male,,,
Zca_079,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_080,Unknown,Unknown,,Brown; moderate scarring,,,,Unk,Unk,Unk,,,
Zca_081,Unknown,Unknown,,Pale; moderate scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_082,Adult,Male,High,Heavy scarring;no teeth; jaw deformity,,,,Adult,Adult,Male,,,Teeth eroded (?); jaw deformity
Zca_083,Unknown,Unknown,,Brown; minimal scarring; no teeth; cookie cutters,,,,Subadult/Adult,Subadult/Adult,Male/Female,,,
Zca_084,Unknown,Unknown,,Brown; minnimal scarring,,,,Adult,Adult,Female,,,
Zca_085,Adult,Male,High,Erupted teeth; teeth very worn down,ZcTag090,,,Reproductive,Adult,Male,,,
Zca_086,Adult,Male,High,Erupted teeth,ZcTag091,,,Reproductive,Adult,Male,,,
Zca_087,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_088,Adult,Male,High,Erupted teeth,ZcTag092,,,Reproductive,Adult,Male,,,Teeth just erupting (?)
Zca_089,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult,Adult,Female,,,
Zca_090,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult,Adult,Female,,,
Zca_091,Adult,Male,High,Erupted teeth,ZcTag095,,,Reproductive,Adult,Male,,,
Zca_092,Adult,Male,High,Erupted teeth,ZcTag096,,,Reproductive,Adult,Male,,,
Zca_093,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_094,Unknown,Unknown,,Brown; minimal scarring,,,,Adult/Subadult,Adult/Subadult,Female/Male,,,
Zca_095,Unknown,Unknown,,Brown; minnimal scarring; probably no teeth,,,,Adult/Subadult,Adult/Subadult,Female/Male,,,
Zca_096,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
